Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Safari 11,,2018-03-20 19:44:47,2018-03-20 19:44:52,"5,043s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:44:52,2018-03-20 19:44:54,"2,580s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:44:54,2018-03-20 19:44:54,"0,067s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/13_Testfall,Safari 11,Filial-count=54\nInitial sind alle Filialen einer Bank angezeigt\n(Akk. und Filial-Icons),2018-03-20 19:44:54,2018-03-20 19:45:06,"12,137s",PASSED
openBrowser,Safari 11,,2018-03-20 19:44:55,2018-03-20 19:44:57,"2,076s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:44:57,2018-03-20 19:44:57,"0,006s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:44:57,2018-03-20 19:44:57,"0,021s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:44:57,2018-03-20 19:45:00,"2,940s",PASSED
delay,Safari 11,,2018-03-20 19:45:00,2018-03-20 19:45:05,"5,005s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 19:45:05,2018-03-20 19:45:06,"1,702s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Safari 11,,2018-03-20 19:45:06,2018-03-20 19:45:06,"0,064s",PASSED
Statement - filial_maps_count = wes1.size(),Safari 11,,2018-03-20 19:45:06,2018-03-20 19:45:06,"0,001s",PASSED
Statement - filial_accordeon_count = wes2.size(),Safari 11,,2018-03-20 19:45:06,2018-03-20 19:45:06,"0,001s",PASSED
Statement - filial_count = 61,Safari 11,,2018-03-20 19:45:06,2018-03-20 19:45:06,"0,001s",PASSED
Statement - If (filial_maps_count != filial_count),Safari 11,,2018-03-20 19:45:06,2018-03-20 19:45:06,"0,001s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:45:06,2018-03-20 19:45:06,"0,077s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/14_Testfall,Safari 11,"Filial-count=37 (Dropdown: Ergebnis bei Auswahl eines Ortes z.B. Berlin)\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons)\n\n\n\n\n\n",2018-03-20 19:45:06,2018-03-20 19:45:32,"25,188s",PASSED
openBrowser,Safari 11,,2018-03-20 19:45:07,2018-03-20 19:45:09,"2,058s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:45:09,2018-03-20 19:45:09,"0,008s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:45:09,2018-03-20 19:45:09,"0,023s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:45:09,2018-03-20 19:45:12,"3,235s",PASSED
delay,Safari 11,,2018-03-20 19:45:12,2018-03-20 19:45:17,"5,040s",PASSED
click,Safari 11,,2018-03-20 19:45:17,2018-03-20 19:45:17,"0,193s",PASSED
delay,Safari 11,,2018-03-20 19:45:17,2018-03-20 19:45:19,"2,007s",PASSED
mouseOver,Safari 11,,2018-03-20 19:45:19,2018-03-20 19:45:19,"0,084s",PASSED
delay,Safari 11,,2018-03-20 19:45:19,2018-03-20 19:45:21,"2,004s",PASSED
click,Safari 11,,2018-03-20 19:45:21,2018-03-20 19:45:21,"0,027s",PASSED
delay,Safari 11,,2018-03-20 19:45:21,2018-03-20 19:45:26,"5,005s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-20 19:45:26,2018-03-20 19:45:26,"0,048s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Safari 11,,2018-03-20 19:45:26,2018-03-20 19:45:26,"0,030s",PASSED
"Statement - wes3 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filialsuche_loc_city), 5)",Safari 11,,2018-03-20 19:45:26,2018-03-20 19:45:32,"5,114s",PASSED
Statement - filial_maps_count = wes1.size(),Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,000s",PASSED
Statement - filial_accordeon_count = wes2.size(),Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,001s",PASSED
Statement - filial_count = 37,Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,000s",PASSED
"Statement - city_name = ""Berlin""",Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,001s",PASSED
Statement - If (filial_maps_count != filial_count),Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,000s",PASSED
"Statement - For ([i = 0, i < wes3.size(), (i++)])",Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,001s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:32,"0,064s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/15_Testfall,Safari 11,"Sortierung nach entfernung beim Eingabe \""Berlin\""",2018-03-20 19:45:32,2018-03-20 19:45:46,"14,316s",PASSED
openBrowser,Safari 11,,2018-03-20 19:45:32,2018-03-20 19:45:34,"2,065s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:45:34,2018-03-20 19:45:34,"0,021s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:45:34,2018-03-20 19:45:34,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:45:34,2018-03-20 19:45:36,"1,874s",PASSED
